,Fecha,Dia,Num_Day,Num_Month,Month,Year,Hora,Persona,Mensaje,Num_palabra,palabras,clean_text,texBlod,sentimiento_vader,n-grams
0,30/11/2023,Jueves,30,11,Nov,2023,19:12:50,Capibaras Ironhack,"‎Los mensajes y las llamadas están cifrados de extremo a extremo. Nadie fuera de este chat, ni siquiera WhatsApp, puede leerlos ni escucharlos.",23,"['\u200eLos', 'mensajes', 'y', 'las', 'llamadas', 'están', 'cifrados', 'de', 'extremo', 'a', 'extremo.', 'Nadie', 'fuera', 'de', 'este', 'chat,', 'ni', 'siquiera', 'WhatsApp,', 'puede', 'leerlos', 'ni', 'escucharlos.']",mensaje llamada cifrado extremo extremo nadie chat siquiera whatsapp poder leer l escucharlo,neutro,neutro,neutro
1,30/11/2023,Jueves,30,11,Nov,2023,19:12:50,Alana Ironhack,‎Alana Ironhack creó el grupo “Capibaras Ironhack”.,7,"['\u200eAlana', 'Ironhack', 'creó', 'el', 'grupo', '“Capibaras', 'Ironhack”.']",aln ironhack creer grupo capibara ironhack,neutro,neutro,neutro
2,30/11/2023,Jueves,30,11,Nov,2023,19:12:50,Capibaras Ironhack,‎Alana Ironhack te añadió.,4,"['\u200eAlana', 'Ironhack', 'te', 'añadió.']",aln ironhack t anadio,neutro,neutro,neutro
3,30/11/2023,Jueves,30,11,Nov,2023,19:12:56,Alana Ironhack,Hola,1,['Hola'],holar,neutro,neutro,neutro
4,30/11/2023,Jueves,30,11,Nov,2023,19:13:12,Alana Ironhack,Les paso las fotos de ayer prepárense xq es un bombardeo,11,"['Les', 'paso', 'las', 'fotos', 'de', 'ayer', 'prepárense', 'xq', 'es', 'un', 'bombardeo']",l pasar foto ayer preparense ser bombardeo,neutro,neutro,neutro
5,30/11/2023,Jueves,30,11,Nov,2023,20:22:19,~ Teresa,Es un bombardeo que nos ahorra prácticamente un lab ❤️,10,"['Es', 'un', 'bombardeo', 'que', 'nos', 'ahorra', 'prácticamente', 'un', 'lab', '❤️']",ser bombardeo ahorrar practicamente laboratorio,neutro,neutro,neutro
6,30/11/2023,Jueves,30,11,Nov,2023,20:22:38,Alana Ironhack,Jajaja,1,['Jajaja'],jajaja,neutro,neutro,neutro
7,30/11/2023,Jueves,30,11,Nov,2023,20:32:18,Sil🐨,Muchas gracias!,2,"['Muchas', 'gracias!']",gracia,neutro,neutro,neutro
8,01/12/2023,Viernes,1,12,Dic,2023,17:10:16,~ Teresa,Fan del icono del grupo,5,"['Fan', 'del', 'icono', 'del', 'grupo']",fan icono grupo,neutro,positivo,neutro
9,01/12/2023,Viernes,1,12,Dic,2023,17:11:26,~ Teresa,Entregue el lab sin el último ejercicio del facetGrid y la respuesta de Rosella ha sido: Lab status: good job! 😃,21,"['Entregue', 'el', 'lab', 'sin', 'el', 'último', 'ejercicio', 'del', 'facetGrid', 'y', 'la', 'respuesta', 'de', 'Rosella', 'ha', 'sido:', 'Lab', 'status:', 'good', 'job!', '😃']",entregar laboratorio ultimo ejercicio facetgrid respuesta rosella haber ser laboratorio status good job,positivo,positivo,neutro
10,01/12/2023,Viernes,1,12,Dic,2023,17:20:03,Alana Ironhack,Hola no lo había pero me encanta,7,"['Hola', 'no', 'lo', 'había', 'pero', 'me', 'encanta']",hola l habiar encantar,neutro,neutro,neutro
11,01/12/2023,Viernes,1,12,Dic,2023,17:20:39,Alana Ironhack,"Yo hoy lo termino, que hay una cosa de una y la 2 que no me salía",17,"['Yo', 'hoy', 'lo', 'termino,', 'que', 'hay', 'una', 'cosa', 'de', 'una', 'y', 'la', '2', 'que', 'no', 'me', 'salía']",hoy l termino haber cosa saliar,neutro,neutro,neutro
12,01/12/2023,Viernes,1,12,Dic,2023,17:21:13,Alana Ironhack,Qué bueno q Rosella ha reconocido tu buen trabajo nena,10,"['Qué', 'bueno', 'q', 'Rosella', 'ha', 'reconocido', 'tu', 'buen', 'trabajo', 'nena']",bueno rosella haber reconocer buen trabajo nena,neutro,neutro,neutro
13,01/12/2023,Viernes,1,12,Dic,2023,17:21:46,Alana Ironhack,Ahora soy yo la Capibara enferma 🤧,7,"['Ahora', 'soy', 'yo', 'la', 'Capibara', 'enferma', '🤧']",ahora ser capibaro enferma,neutro,neutro,neutro
14,01/12/2023,Viernes,1,12,Dic,2023,17:25:26,Alana Ironhack,X cierto al final si me quedo mañana ( si no muero de gripe ) jajaja,16,"['X', 'cierto', 'al', 'final', 'si', 'me', 'quedo', 'mañana', '(', 'si', 'no', 'muero', 'de', 'gripe', ')', 'jajaja']",cierto final si quedar mann si morir gripe jajajar,neutro,neutro,neutro
15,01/12/2023,Viernes,1,12,Dic,2023,17:51:13,Sil🐨,espero no habertelo pegado joo,5,"['espero', 'no', 'habertelo', 'pegado', 'joo']",esperar habertelo pegado joo,neutro,neutro,neutro
16,01/12/2023,Viernes,1,12,Dic,2023,17:51:27,Sil🐨,yo tengo terminarlo me voy a poner ahora,8,"['yo', 'tengo', 'terminarlo', 'me', 'voy', 'a', 'poner', 'ahora']",tener terminar l ir poner ahora,neutro,neutro,neutro
17,01/12/2023,Viernes,1,12,Dic,2023,17:51:32,Alana Ironhack,No ahora con el frío todo mundo está igual,9,"['No', 'ahora', 'con', 'el', 'frío', 'todo', 'mundo', 'está', 'igual']",ahora frio mundir igual,neutro,neutro,neutro
18,01/12/2023,Viernes,1,12,Dic,2023,17:51:51,Sil🐨,yo en el metro veo a todo el mundo malo,10,"['yo', 'en', 'el', 'metro', 'veo', 'a', 'todo', 'el', 'mundo', 'malo']",metro veo mundo malo,neutro,neutro,neutro
19,01/12/2023,Viernes,1,12,Dic,2023,17:52:16,Alana Ironhack,Si si en el trabajo vamos cayendo poco a poco,10,"['Si', 'si', 'en', 'el', 'trabajo', 'vamos', 'cayendo', 'poco', 'a', 'poco']",si si trabajo ir caer,neutro,neutro,neutro
20,01/12/2023,Viernes,1,12,Dic,2023,18:27:54,~ Teresa,No hay fútbol y juanchos al final?,7,"['No', 'hay', 'fútbol', 'y', 'juanchos', 'al', 'final?']",haber futbol juancho final,neutro,neutro,neutro
21,01/12/2023,Viernes,1,12,Dic,2023,18:28:22,Sil🐨,es verdad,2,"['es', 'verdad']",ser verdad,neutro,neutro,neutro
22,01/12/2023,Viernes,1,12,Dic,2023,18:28:36,Sil🐨,cancelado por enfermedad ‎<Se editó este mensaje.>,7,"['cancelado', 'por', 'enfermedad', '\u200e<Se', 'editó', 'este', 'mensaje.>']",cancelado enfermedad l edito mensaje,neutro,neutro,neutro
23,01/12/2023,Viernes,1,12,Dic,2023,18:29:33,Alana Ironhack,"No, esq si no iba a morir ahí en el frío, así q abandone a David e irá con un amigo, así q ni tan mal jajaj",27,"['No,', 'esq', 'si', 'no', 'iba', 'a', 'morir', 'ahí', 'en', 'el', 'frío,', 'así', 'q', 'abandone', 'a', 'David', 'e', 'irá', 'con', 'un', 'amigo,', 'así', 'q', 'ni', 'tan', 'mal', 'jajaj']",ser si ir morir ahi frio asi abandonar david ira amigo asi mal jajaj,neutro,neutro,neutro
24,01/12/2023,Viernes,1,12,Dic,2023,18:42:03,Sil🐨,bueno mejor asi no te pones peor,7,"['bueno', 'mejor', 'asi', 'no', 'te', 'pones', 'peor']",bueno mejor asi t poner peor,neutro,neutro,neutro
25,01/12/2023,Viernes,1,12,Dic,2023,18:46:03,Alana Ironhack,Si además así q dijeras cuantas ganas tengo de ir. Pues no,12,"['Si', 'además', 'así', 'q', 'dijeras', 'cuantas', 'ganas', 'tengo', 'de', 'ir.', 'Pues', 'no']",si ademar asi dijera cuanta gana tener ir pues,neutro,neutro,neutro
26,02/12/2023,Sabado,2,12,Dic,2023,18:08:18,Sil🐨,seguis trabajando?,2,"['seguis', 'trabajando?']",seguis trabajar,neutro,neutro,neutro
27,02/12/2023,Sabado,2,12,Dic,2023,18:09:15,Alana Ironhack,No nos quedamos,3,"['No', 'nos', 'quedamos']",quedar,neutro,neutro,neutro
28,02/12/2023,Sabado,2,12,Dic,2023,18:10:23,Sil🐨,Al final no?,3,"['Al', 'final', 'no?']",final,neutro,neutro,neutro
29,02/12/2023,Sabado,2,12,Dic,2023,18:10:33,Sil🐨,Bueno tú estás malita,4,"['Bueno', 'tú', 'estás', 'malita']",bueno malita,neutro,neutro,neutro
30,02/12/2023,Sabado,2,12,Dic,2023,18:10:39,Alana Ironhack,"No cada quien a su casa, los otros si se quedaron",11,"['No', 'cada', 'quien', 'a', 'su', 'casa,', 'los', 'otros', 'si', 'se', 'quedaron']",cada casa si l quedar,neutro,neutro,neutro
31,02/12/2023,Sabado,2,12,Dic,2023,18:11:03,Sil🐨,Bueno yo me voy a poner un ratito,8,"['Bueno', 'yo', 'me', 'voy', 'a', 'poner', 'un', 'ratito']",bueno ir poner ratito,neutro,neutro,neutro
32,02/12/2023,Sabado,2,12,Dic,2023,18:11:08,Alana Ironhack,Yo ahora en unos min me pongo,7,"['Yo', 'ahora', 'en', 'unos', 'min', 'me', 'pongo']",ahora min poner,neutro,neutro,neutro
33,02/12/2023,Sabado,2,12,Dic,2023,18:11:21,Sil🐨,Valee perfe,2,"['Valee', 'perfe']",valee perfecto,neutro,positivo,neutro
34,02/12/2023,Sabado,2,12,Dic,2023,18:40:10,~ Teresa,Yo también,2,"['Yo', 'también']",tambien,neutro,neutro,neutro
35,02/12/2023,Sabado,2,12,Dic,2023,18:40:43,~ Teresa,"Y luego me desperté y dije “uy que sucio está todo”, y me puse a limpiar como forma de procrastinar",20,"['Y', 'luego', 'me', 'desperté', 'y', 'dije', '“uy', 'que', 'sucio', 'está', 'todo”,', 'y', 'me', 'puse', 'a', 'limpiar', 'como', 'forma', 'de', 'procrastinar']",luego desperte decir uy sucio poner limpiar forma procrastinar,neutro,neutro,neutro
